"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri May 10 06:21:47 UTC 2024","Fri May 10 06:21:47 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"skipped","Fri May 10 06:21:47 UTC 2024","Fri May 10 06:21:47 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"skipped","Fri May 10 06:21:47 UTC 2024","Fri May 10 06:21:47 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Fri May 10 06:01:28 UTC 2024","Fri May 10 06:01:44 UTC 2024","15788","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"skipped","Fri May 10 05:59:26 UTC 2024","Fri May 10 05:59:26 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"skipped","Fri May 10 05:59:26 UTC 2024","Fri May 10 05:59:26 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Fri May 10 06:49:23 UTC 2024","Fri May 10 06:49:26 UTC 2024","2382","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Fri May 10 06:36:35 UTC 2024","Fri May 10 06:36:37 UTC 2024","2577","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Fri May 10 06:49:00 UTC 2024","Fri May 10 06:49:14 UTC 2024","14104","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Fri May 10 07:23:08 UTC 2024","Fri May 10 07:23:26 UTC 2024","18568","","21. Forgot password function","","","","2. Reset password",""
"passed","Fri May 10 06:42:31 UTC 2024","Fri May 10 06:46:39 UTC 2024","247451","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri May 10 06:04:04 UTC 2024","Fri May 10 06:04:09 UTC 2024","5009","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"skipped","Fri May 10 06:21:47 UTC 2024","Fri May 10 06:21:47 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri May 10 06:04:03 UTC 2024","Fri May 10 06:04:04 UTC 2024","1046","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Fri May 10 06:01:44 UTC 2024","Fri May 10 06:02:02 UTC 2024","17996","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"broken","Fri May 10 06:21:47 UTC 2024","Fri May 10 06:21:47 UTC 2024","2","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"skipped","Fri May 10 08:19:40 UTC 2024","Fri May 10 08:19:40 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"skipped","Fri May 10 05:59:26 UTC 2024","Fri May 10 05:59:26 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
